Organization,City,Date,Country
SRA Biennial Meeting,Vancouver,2012,US
EARA Biennial Meeting,Spetses,2012,GR
SRCD Biennial Meeting,Seattle,2013,US
SRCD special topic meeting on Positive Youth Development,Prague,2014,US
SRA Biennial Meeting,Austin,2014,US
EARA/SRA summer school,Utrecht,2014,US
EARA Biennial Meeting,Izmir,2014,TR
ECDP Biennial Meeting,Braga,2015,PT
IARR Biennial Meeting,Amsterdam,2015,NL
SRA Biennial Meeting,Baltimore,2016,US
EARA Biennial Meeting,Cádiz,2016,ES
The role of fathers for children's socio-emotional development,Kopenhagen,2016,DK
SRCD Biennial Meeting,Austin,2017,US
ECDP Biennial Meeting,Utrecht,2017,NL
SRCD DEVSEC,Phoenix,2018,US
EARA Biennial Meeting,Ghent,2018,BE
S4: Small Sample Size Solutions,Utrecht,2018,NL
ZIPD Research Synthesis,Trier,2018,DE
ECDP Biennial Meeting,Athens,2019,GR
"NIAS Institute: Relationships, Technology & Health",Wassenaar,2015,NL
Understanding Each Other (co-organizer),Utrecht,2014,NL
KLI symposium,Utrecht,2014,NL
Consortium on Individual Development kick off,Utrecht,2013,NL
CAS Research Day,Utrecht,2012,NL
