Amount,Funding body,Purpose,Number,Date
1500000,Open Science NL (co-applicant): Infra-Structural Equation Modelling,Open Research Software,,16-12-2025
1500000,Open Science NL (co-applicant): ReproHub,Reproducibility Infrastructure,,16-12-2025
5000,Education Innovation Grant TunedIn Innovation Resources,Open Educational Materials,,17-04-2025
850000,NWO Vidi grant,Research,VI.Vidi.231G.017,24-10-2024
227500,eScience Center Spearhead grant,Text Mining Systematic Review,NLeSC.P.23.0263,17-11-2023
22000,Facultair Stimuleringsfonds Onderwijs,Open Educational Materials,,09-03-2022
22000,Facultair Stimuleringsfonds Onderwijs,Open Science education,,03-09-2020
250000,NWO Veni grant,Research,VI.Veni.191G.090,03-09-2019
1500,Child and Adolescent Studies,Symposium,,02-09-2013
1700,FSW-50,Symposium,,28-11-2013
500,Kurt Lewin Institute,Joint seminar,,01-08-2013
500,Jacobs Foundation,Travel grant,,04-10-2014
