Start,End,Activity,Category,
Sep-24,present,Member Education Committee Liberal Arts & Sciences,Organizational body,
Okt-23,Dec-23,Program director Team Science,Organizational body,
Sept-23,present,Board member TiU Young Academy,Organizational body,
Oct-22,Sep-24,Member Faculty Ethical Committee,Organizational body,
Sep-22,present,Chair Open Science Community Tilburg,Professional organization,
Feb-22,Aug-22,Co-chair Open Science Community Utrecht,Professional organization,
Dec-20,Sep-22,U(H)D Council representative FSS,Organizational body,
Oct-20,Sep-22,Faculty Open Science Team,Organizational body,
Apr-20,present,Statistical Consulting Editor for Child Development,Journal,
Mar-20,Jun-23,Team coordinator at <a href = "https://dataversuscorona.com/">Data scientists Against Corona</a>,Volunteer organization,
Jan-20,Sep-22,Faculty Ambassador Open Science Community Utrecht,Professional organization,
Sep-18,present,National representative for the European Association for Research on Adolescence,Professional organization,
Mar-18,Jan-20,Onderwijscommissie PED/OWK,Education,
Mar-18,Jan-20,Onderwijscommissie OWW-ALPO,Education,
Apr-14,Apr-14,FSW-50 symposium organization,Organization,
Nov-13,Jan-14,Co-organized Erasmus Intensive Program,Organization,
Dec-12,Apr-13,Co-organized Erasmus Intensive Program,Organization,
