"","Category","Skill"
"1","Statistics","Longitudinal structural equation modeling"
"2","Statistics","machine learning"
"3","Statistics","meta-analysis"
"4","Statistics","simulation studies"
"5","Statistics","Bayesian analyses"
"6","Statistics","mixture models"
"7","Statistics","multilevel analysis"
"8","Software","R"
"9","Software","MPlus"
"10","Software","Stan"
"11","Software","JAGS"
"12","Programming","Python"
"13","Programming","Autohotkey"
"14","Experimental","E-Prime"
"15","Experimental","LimeSurvey"
"16","Experimental","Noldus Observer"
"17","Experimental","Biopac AcqKnowledge"
"18","Experimental","Authorware"
"19","Experimental","Brain Vision Analyser"
"20","Typesetting","LaTeX"
"21","Typesetting","RMarkdown"
"22","Misc","Regular Expressions"
"23","Misc","Git"
"24","Misc","Amazon AWS cloud computing"
"25","Misc","Zotero"
"26","Languages","Dutch (Fluent)"
"27","Languages","English (Fluent)"
"28","Languages","German (conversational)"
"29","Languages","French and Spanish (reading)"
"30","Languages","Mandarin (basic spoken)"
